CityMunRes,CityMunCoord
DUMANJUG,"10.0584038, 123.4351815"
GOVERNOR GENEROSO,"6.6535259, 126.0720099"
MEDELLIN,"11.1283811, 123.9615625"
TOBOSO,"10.7169474, 123.5135576"
TAMPAKAN,"6.4437607, 124.9269132"
CALINTAAN,"12.5706215, 120.9416556"
DON CARLOS,"7.6803647, 124.9990723"
LEBAK,"6.6336717, 124.0657013"
BUNAWAN,"8.1787968, 125.9942065"
SIBONGA,"10.0173783, 123.6204663"
DANAO CITY,"10.5194879, 124.0271297"
MABINAY,"9.7355043, 122.926378"
CITY OF BOGO,"11.0515546, 124.00355238382583"
VALLEHERMOSO,"10.3354066, 123.3266886"
TABOGON,"10.9398633, 124.0277378"
BONIFACIO,"8.0522878, 123.6139434"
OSLOB,"9.5204466, 123.4335205"
DINGRAS,"18.1034564, 120.6977344"
ARGAO,"9.8813917, 123.6085598"
MURCIA,"10.6066483, 123.0404676"
ASTURIAS,"10.5677403, 123.7160037"
CITY OF LAMITAN (CAPITAL),"6.6615, 122.1065"
KOLAMBUGAN,"8.128968100000002, 123.89686187383185"
PANTABANGAN,"15.8073911, 121.1442251"
KAUSWAGAN,"8.1886898, 124.0864362"
DALAGUETE,"9.7619073, 123.5334094"
BALAMBAN,"10.504892, 123.7148228"
CITY OF TABUK (CAPITAL),"17.4117, 121.4384"
TINAMBAC,"13.8183125, 123.3253366"
SINDANGAN,"8.2373562, 122.9986125"
CATANAUAN,"13.5929805, 122.3223125"
CITY OF MALAYBALAY (CAPITAL),"8.1479, 125.1321"
VILLANUEVA,"8.5837261, 124.7698576"
BANI,"16.1839974, 119.8618795"
CITY OF ISABELA,"6.7053597, 121.9710604"
TANTANGAN,"6.6191395, 124.748923"
CORDON,"16.6739986, 121.4662357"
OLD PANAMAO,"5.9818846, 121.2140628"
TUBA,"16.3927028, 120.5602008"
VILLAREAL,"11.5675325, 124.9281544"
NAVAL (CAPITAL),"14.52625735, 121.02837400532441"
OAS,"13.2570425, 123.5001669"
ORMOC CITY,"11.05675605, 124.5058474404223"
PASTRANA,"11.1367152, 124.8864225"
COMPOSTELA,"10.4538391, 124.0124753"
MATALOM,"10.2821237, 124.7858627"
LAL-LO,"18.2000513, 121.661997"
HILONGOS,"10.3733001, 124.7488169"
ALCALA,"15.8443487, 120.5213759"
